Rec,Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F ,Total duration of F ,Mean duration of F,Mean Duration of pd,Average number of pd per probe ,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
8am_10-15-2021-ch1,zt0,815.7,4,2,1002,501,5.9,8,3779.5,4,2222,555.5,5,10,4,5,2,117.9,17.7,44.8,13592.6,2406.5,1118.1,11186.1,240.7,2237.2,9,22,9,68,7653.5,15207.4,4330,399.1,24470,481.1,347.9,3827.7,38.8,9770.4,31.3,9.8,45.7,4.1,9.1,40
8am_10-15-2021-ch4,zt0,12.7,4,0,NA,NA,5,4,2028.8,1,16.6,16.6,6,5,1,3,1,3449.1,20.6,84.1,24456.3,5046,3449.1,19410.4,1009.2,6470.1,10,14,10,42,3652.6,4343.7,674.5,212,28125.5,67.4,260.9,5724.5,369.4,18542.3,13,17.9,69,0,0.1,33.3
8am_10-15-2021-ch8,zt0,595.3,4,5,554.5,110.9,6.2,13,10151.7,3,8158.8,2719.6,5,5,2,3,0,558.2,68.7,4.5,2646.5,1818.7,1589.5,827.8,363.7,275.9,9,20,9,120,8937.1,26153.5,8503.1,741.8,20296.9,944.8,446.9,10206.8,20.4,503.2,44,9,4.1,2.7,40.2,0
8am_10-27-2021-ch1,zt0,1162.5,2,0,NA,NA,9.1,11,2775.9,0,NA,NA,6,16,6,8,4,8146.7,27.2,49.2,17532.1,4762.7,785.8,12769.4,297.7,1596.2,8,21,8,86,8053,11267.9,3214.9,782.8,25585.1,401.9,383.5,2824.4,1098,8098.1,31.5,18.6,49.9,0,0,50
8am_10-27-2021-ch2,zt0,333.9,4,1,1339.6,1339.6,4.6,15,4823.8,0,NA,NA,5,22,7,11,2,81.6,17.5,40.8,10958.5,1919.5,725.2,9039,87.3,821.7,9,28,9,139,13366.7,17841.5,3135.2,644.6,25664.8,348.4,477.4,6642.5,29.6,5356.2,52.1,7.5,35.2,5.2,0,18.2
8am_10-27-2021-ch3,zt0,401.9,2,0,NA,NA,6.9,18,2713,0,NA,NA,0,3,2,1,1,687.8,11.4,100,25219.9,2885.3,1466.1,22334.6,961.8,22334.6,2,4,2,35,2843.7,3580.1,736.5,240.5,28063.6,368.2,710.9,6465.4,1287.4,22334.6,10.1,10.3,79.6,0,0,100
8am_10-27-2021-ch4,zt0,537.1,5,2,279.9,139.9,4.2,5,3060.4,1,16.8,16.8,8,6,4,2,2,312.1,16.1,66.8,18049,2914.2,1425.9,15134.8,485.7,7567.4,13,21,13,68,6763.9,10751,3690.5,287.8,25109.5,283.9,322.1,6158.8,8.1,13917.3,26.9,11.6,60.3,1.1,0.1,100
8am_10-27-2021-ch6,zt0,258.3,9,2,3855.8,1927.9,6.1,5,7240.7,1,56.6,56.6,1,4,2,2,2,10033.4,12.6,72.2,17561.4,2206.2,1177.5,15355.3,551.5,7677.6,10,16,10,50,5980.6,11238.6,1345.7,305.4,27454.4,134.6,373.8,7532.2,16.7,9741.9,21.8,8,55.9,14,0.2,100
8am_10-27-2021-ch8,zt0,394.7,1,1,4727,4727,6.9,22,6101.3,0,NA,NA,1,9,6,3,2,926.2,13.2,71.3,18621,2457.3,950.4,16163.7,273,5387.9,2,11,2,44,4678.8,10179,773.2,302,28026.8,386.6,425.3,6140.3,4983.2,15250.8,16.7,8.8,57.7,16.9,0,66.7
8pm_9-15-2021-ch6,zt12,532.1,1,1,261.3,261.3,4.2,21,1667,0,NA,NA,3,15,3,10,6,8367,6.6,76.7,22258.5,1463.8,106,20794.7,97.6,2079.5,4,16,4,83,5524.4,6541.5,755.9,352.6,28044.1,189,345.3,1700.8,45.1,8333.2,19.7,5.2,74.1,0.9,0,60
8pm_9-15-2021-ch7,zt12,142,1,0,NA,NA,498,17,392.1,0,NA,NA,0,6,0,6,2,493,4,93.6,27304.7,1083.9,NA,26220.8,180.7,4370.1,1,3,1,17,1353.3,1495.3,142,8465.4,28657.9,142,451.1,789.6,90.7,17651,4.7,3.8,91.5,0,0,33.3
8pm_9-15-2021-ch8,zt12,224,3,2,284.5,142.3,4.3,9,1549.6,0,NA,NA,9,17,6,9,3,264.5,7,45.7,13350.2,938.6,304.3,12411.6,55.2,1379.1,12,27,12,107,13947.5,15449.8,1217.8,459.5,27582.2,101.5,516.6,1626.1,72,8993.8,50.6,3.4,45,1,0,33.3
